volume,current,doi,journal-title,title,start-end-page,author,type,datetime
464,Biological sciences April 2010,10.1038/nature08933,Nature,"Genetics, pathogenesis and clinical interventions in type 1 diabetes",", 1293–1300 (","Jeffrey A. Bluestone,Kevan Herold,George Eisenbarth",Review,29 April 2010
464,Biological sciences April 2010,10.1038/nature08947,Nature,"Dendritic organization of sensory input to cortical neurons ,in vivo",", 1307–1312 (","Hongbo Jia,Nathalie L. Rochefort,Xiaowei Chen,Arthur Konnerth",Article,29 April 2010
464,Biological sciences April 2010,10.1038/nature08965,Nature,Exceptional dinosaur fossils show ontogenetic development of early feathers,", 1338–1341 (","Xing Xu,Xiaoting Zheng,Hailu You",Letter,29 April 2010
464,Biological sciences April 2010,10.1038/nature08939,Nature,A role for host–parasite interactions in the horizontal transfer of transposons across phyla,", 1347–1350 (","Clément Gilbert,Sarah Schaack,John K. Pace II,Paul J. Brindley,Cédric Feschotte",Letter,29 April 2010
464,Biological sciences April 2010,10.1038/nature08990,Nature,"Genome, epigenome and RNA sequences of monozygotic twins discordant for multiple sclerosis ,Open",", 1351–1356 (","Sergio E. Baranzini,Joann Mudge,Jennifer C. van Velkinburgh,Pouya Khankhanian,Irina Khrebtukova,Neil A. Miller,Lu Zhang,Andrew D. Farmer,Callum J. Bell,Ryan W. Kim,Gregory D. May,Jimmy E. Woodward,Stacy J. Caillier,Joseph P. McElroy,Refujia Gomez,Marcelo J. Pando,Leonda E. Clendenen,Elena E. Ganusova,Faye D. Schilkey,Thiruvarangan Ramaraj,Omar A. Khan,Jim J. Huntley,Shujun Luo,Pui-yan Kwok,Thomas D. Wu,Gary P. Schroth,Jorge R. Oksenberg,Stephen L. Hauser,Stephen F. Kingsmore",Letter,29 April 2010
464,Biological sciences April 2010,10.1038/nature08938,Nature,NLRP3 inflammasomes are required for atherogenesis and activated by cholesterol crystals,", 1357–1361 (","Peter Duewell,Hajime Kono,Katey J. Rayner,Cherilyn M. Sirois,Gregory Vladimer,Franz G. Bauernfeind,George S. Abela,Luigi Franchi,Gabriel Nuñez,Max Schnurr,Terje Espevik,Egil Lien,Katherine A. Fitzgerald,Kenneth L. Rock,Kathryn J. Moore,Samuel D. Wright,Veit Hornung,Eicke Latz",Letter,29 April 2010
465,Biological sciences April 2010,10.1038/nature08971,Nature,Mutations of optineurin in amyotrophic lateral sclerosis,", 223–226 (","Hirofumi Maruyama,Hiroyuki Morino,Hidefumi Ito,Yuishin Izumi,Hidemasa Kato,Yasuhito Watanabe,Yoshimi Kinoshita,Masaki Kamada,Hiroyuki Nodera,Hidenori Suzuki,Osamu Komure,Shinya Matsuura,Keitaro Kobatake,Nobutoshi Morimoto,Koji Abe,Naoki Suzuki,Masashi Aoki,Akihiro Kawata,Takeshi Hirai,Takeo Kato,Kazumasa Ogasawara,Asao Hirano,Toru Takumi,Hirofumi Kusaka,Koichi Hagiwara,Ryuji Kaji,Hideshi Kawakami",Letter,28 April 2010
465,Biological sciences April 2010,10.1038/nature09032,Nature,G domain dimerization controls dynamin's assembly-stimulated GTPase activity,", 435–440 (","Joshua S. Chappie,Sharmistha Acharya,Marilyn Leonard,Sandra L. Schmid,Fred Dyda",Article,28 April 2010
465,Biological sciences April 2010,10.1038/nature08972,Nature,Structural basis of oligomerization in the stalk region of dynamin-like MxA,", 502–506 (","Song Gao,Alexander von der Malsburg,Susann Paeschke,Joachim Behlke,Otto Haller,Georg Kochs,Oliver Daumke",Letter,28 April 2010
465,Biological sciences April 2010,10.1038/nature09092,Nature,A dicer-independent miRNA biogenesis pathway that requires Ago catalysis,", 584–589 (","Sihem Cheloufi,Camila O. Dos Santos,Mark M. W. Chong,Gregory J. Hannon",Article,27 April 2010
465,Biological sciences April 2010,10.1038/nature08959,Nature,"Cis,-interactions between Notch and Delta generate mutually exclusive signalling states",", 86–90 (","David Sprinzak,Amit Lakhanpal,Lauren LeBon,Leah A. Santat,Michelle E. Fontes,Graham A. Anderson,Jordi Garcia-Ojalvo,Michael B. Elowitz",Letter,25 April 2010
465,Biological sciences April 2010,10.1038/nature09017,Nature,Aberrant silencing of imprinted genes on chromosome 12qF1 in mouse induced pluripotent stem cells,", 175–181 (","Matthias Stadtfeld,Effie Apostolou,Hidenori Akutsu,Atsushi Fukuda,Patricia Follett,Sridaran Natesan,Tomohiro Kono,Toshi Shioda,Konrad Hochedlinger",Article,25 April 2010
465,Biological sciences April 2010,10.1038/nature08993,Nature,"Stepwise [FeFe]-hydrogenase H-cluster assembly revealed in the structure of HydA,ΔEFG",", 248–251 (","David W. Mulder,Eric S. Boyd,Ranjana Sarma,Rachel K. Lange,James A. Endrizzi,Joan B. Broderick,John W. Peters",Letter,25 April 2010
464,Biological sciences April 2010,10.1038/nature08935,Nature,Lateral competition for cortical space by layer-specific horizontal circuits,", 1155–1160 (","Hillel Adesnik,Massimo Scanziani",Article,22 April 2010
464,Biological sciences April 2010,10.1038/nature08963,Nature,"Listeria monocytogenes, impairs SUMOylation for efficient infection",", 1192–1195 (","David Ribet,Mélanie Hamon,Edith Gouin,Marie-Anne Nahori,Francis Impens,Hélène Neyret-Kahn,Kris Gevaert,Joël Vandekerckhove,Anne Dejean,Pascale Cossart",Letter,22 April 2010
465,Biological sciences April 2010,10.1038/nature08960,Nature,Chemical genetics strategy identifies an HCV NS5A inhibitor with a potent clinical effect,", 96–100 (","Min Gao,Richard E. Nettles,Makonen Belema,Lawrence B. Snyder,Van N. Nguyen,Robert A. Fridell,Michael H. Serrano-Wu,David R. Langley,Jin-Hua Sun,Donald R. O’Boyle II,Julie A. Lemm,Chunfu Wang,Jay O. Knipe,Caly Chien,Richard J. Colonno,Dennis M. Grasela,Nicholas A. Meanwell,Lawrence G. Hamann",Letter,21 April 2010
465,Biological sciences April 2010,10.1038/nature09025,Nature,An RNA polymerase II- and AGO4-associated protein acts in RNA-directed DNA methylation,", 106–109 (","Zhihuan Gao,Hai-Liang Liu,Lucia Daxinger,Olga Pontes,Xinjian He,Weiqiang Qian,Huixin Lin,Mingtang Xie,Zdravko J. Lorkovic,Shoudong Zhang,Daisuke Miki,Xiangqiang Zhan,Dominique Pontier,Thierry Lagrange,Hailing Jin,Antonius J. M. Matzke,Marjori Matzke,Craig S. Pikaard,Jian-Kang Zhu",Letter,21 April 2010
466,Biological sciences May 2010,10.1038/nature09147,Nature,Relationship between nucleosome positioning and DNA methylation,", 388–392 (","Ramakrishna K. Chodavarapu,Suhua Feng,Yana V. Bernatavichute,Pao-Yang Chen,Hume Stroud,Yanchun Yu,Jonathan A. Hetzel,Frank Kuo,Jin Kim,Shawn J. Cokus,David Casero,Maria Bernal,Peter Huijser,Amander T. Clark,Ute Krämer,Sabeeha S. Merchant,Xiaoyu Zhang,Steven E. Jacobsen,Matteo Pellegrini",Letter,30 May 2010
465,Biological sciences April 2010,10.1038/nature08992,Nature,Oxidation of methane by a biological dicopper centre,", 115–119 (","Ramakrishnan Balasubramanian,Stephen M. Smith,Swati Rawat,Liliya A. Yatsunyk,Timothy L. Stemmler,Amy C. Rosenzweig",Letter,21 April 2010
465,Biological sciences April 2010,10.1038/nature08977,Nature,Cell signalling by microRNA165/6 directs gene dose-dependent root cell fate,", 316–321 (","Annelie Carlsbecker,Ji-Young Lee,Christina J. Roberts,Jan Dettmer,Satu Lehesranta,Jing Zhou,Ove Lindgren,Miguel A. Moreno-Risueno,Anne Vatén,Siripong Thitamadee,Ana Campilho,Jose Sebastian,John L. Bowman,Ykä Helariutta,Philip N. Benfey",Article,21 April 2010
465,Biological sciences April 2010,10.1038/nature09042,Nature,Putting brain training to the test,", 775–778 (","Adrian M. Owen,Adam Hampshire,Jessica A. Grahn,Robert Stenton,Said Dajani,Alistair S. Burns,Robert J. Howard,Clive G. Ballard",Letter,20 April 2010
466,Biological sciences May 2010,10.1038/nature09158,Nature,Phenotypic robustness conferred by apparently redundant transcriptional enhancers,", 490–493 (","Nicolás Frankel,Gregory K. Davis,Diego Vargas,Shu Wang,François Payre,David L. Stern",Letter,30 May 2010
465,Biological sciences May 2010,10.1038/nature09082,Nature,Principles of stop-codon reading on the ribosome,", 947–950 (","Johan Sund,Martin Andér,Johan Åqvist",Letter,30 May 2010
465,Biological sciences May 2010,10.1038/nature09066,Nature,The architecture of respiratory complex I,", 441–445 (","Rouslan G. Efremov,Rozbeh Baradaran,Leonid A. Sazanov",Article,27 May 2010
465,Biological sciences April 2010,10.1038/nature08946,Nature,The scaffold protein Ste5 directly controls a switch-like mating decision in yeast,", 101–105 (","Mohan K. Malleshaiah,Vahid Shahrezaei,Peter S. Swain,Stephen W. Michnick",Letter,18 April 2010
465,Biological sciences April 2010,10.1038/nature08950,Nature,X-ray crystal structure of the light-independent protochlorophyllide reductase,", 110–114 (","Norifumi Muraki,Jiro Nomata,Kozue Ebata,Tadashi Mizoguchi,Tomoo Shiba,Hitoshi Tamiaki,Genji Kurisu,Yuichi Fujita",Letter,18 April 2010
465,Biological sciences April 2010,10.1038/nature08964,Nature,"Native GABA,B, receptors are heteromultimers with a family of auxiliary subunits",", 231–235 (","Jochen Schwenk,Michaela Metz,Gerd Zolles,Rostislav Turecek,Thorsten Fritzius,Wolfgang Bildl,Etsuko Tarusawa,Akos Kulik,Andreas Unger,Klara Ivankova,Riad Seddik,Jim Y. Tiao,Mathieu Rajalu,Johana Trojanova,Volker Rohde,Martin Gassmann,Uwe Schulte,Bernd Fakler,Bernhard Bettler",Letter,18 April 2010
465,Biological sciences May 2010,10.1038/nature09019,Nature,A Late Cretaceous ceratopsian dinosaur from Europe with Asian affinities,", 466–468 (","Attila Ősi,Richard J. Butler,David B. Weishampel",Letter,27 May 2010
465,Biological sciences May 2010,10.1038/nature09068,Nature,Primitive soft-bodied cephalopods from the Cambrian,", 469–472 (","Martin R. Smith,Jean-Bernard Caron",Letter,27 May 2010
465,Biological sciences May 2010,10.1038/nature09004,Nature,The mutation spectrum revealed by paired genome sequences from a lung cancer patient,", 473–477 (","William Lee,Zhaoshi Jiang,Jinfeng Liu,Peter M. Haverty,Yinghui Guan,Jeremy Stinson,Peng Yue,Yan Zhang,Krishna P. Pant,Deepali Bhatt,Connie Ha,Stephanie Johnson,Michael I. Kennemer,Sankar Mohan,Igor Nazarenko,Colin Watanabe,Andrew B. Sparks,David S. Shames,Robert Gentleman,Frederic J. de Sauvage,Howard Stern,Ajay Pandita,Dennis G. Ballinger,Radoje Drmanac,Zora Modrusan,Somasekar Seshagiri,Zemin Zhang",Letter,27 May 2010
464,Biological sciences April 2010,10.1038/nature08927,Nature,"Evolution of self-compatibility in ,Arabidopsis, by a mutation in the male specificity gene",", 1342–1346 (","Takashi Tsuchimatsu,Keita Suwabe,Rie Shimizu-Inatsugi,Sachiyo Isokawa,Pavlos Pavlidis,Thomas Städler,Go Suzuki,Seiji Takayama,Masao Watanabe,Kentaro K. Shimizu",Letter,18 April 2010
464,Biological sciences April 2010,10.1038/nature08987,Nature,International network of cancer genome projects,", 993–998 (",The International Cancer Genome Consortium,Perspective,15 April 2010
466,Biological sciences July 2010,10.1038/nature09268,Nature,Global phytoplankton decline over the past century,", 591–596 (","Daniel G. Boyce,Marlon R. Lewis,Boris Worm",Article,29 July 2010
465,Biological sciences May 2010,10.1038/nature09001,Nature,Embolus extravasation is an alternative mechanism for cerebral microvascular recanalization,", 478–482 (","Carson K. Lam,Taehwan Yoo,Bennett Hiner,Zhiqiang Liu,Jaime Grutzendler",Letter,27 May 2010
465,Biological sciences May 2010,10.1038/nature09075,Nature,CD95 promotes tumour growth,", 492–496 (","Lina Chen,Sun-Mi Park,Alexei V. Tumanov,Annika Hau,Kenjiro Sawada,Christine Feig,Jerrold R. Turner,Yang-Xin Fu,Iris L. Romero,Ernst Lengyel,Marcus E. Peter",Letter,27 May 2010
465,Biological sciences May 2010,10.1038/nature09041,Nature,Distinct FGFs promote differentiation of excitatory and inhibitory synapses,", 783–787 (","Akiko Terauchi,Erin M. Johnson-Venkatesh,Anna B. Toth,Danish Javed,Michael A. Sutton,Hisashi Umemori",Letter,26 May 2010
466,Biological sciences July 2010,10.1038/nature09191,Nature,Pathogenic LRRK2 negatively regulates microRNA-mediated translational repression,", 637–641 (","Stephan Gehrke,Yuzuru Imai,Nicholas Sokol,Bingwei Lu",Letter,29 July 2010
466,Biological sciences July 2010,10.1038/nature09190,Nature,New class of gene-termini-associated human RNAs suggests a novel RNA copying mechanism,", 642–646 (","Philipp Kapranov,Fatih Ozsolak,Sang Woo Kim,Sylvain Foissac,Doron Lipson,Chris Hart,Steve Roels,Christelle Borel,Stylianos E. Antonarakis,A. Paula Monaghan,Bino John,Patrice M. Milos",Letter,29 July 2010
466,Biological sciences July 2010,10.1038/nature09208,Nature,Diverse somatic mutation patterns and pathway alterations in human cancers,", 869–873 (","Zhengyan Kan,Bijay S. Jaiswal,Jeremy Stinson,Vasantharajan Janakiraman,Deepali Bhatt,Howard M. Stern,Peng Yue,Peter M. Haverty,Richard Bourgon,Jianbiao Zheng,Martin Moorhead,Subhra Chaudhuri,Lynn P. Tomsho,Brock A. Peters,Kanan Pujara,Shaun Cordes,David P. Davis,Victoria E. H. Carlton,Wenlin Yuan,Li Li,Weiru Wang,Charles Eigenbrot,Joshua S. Kaminker,David A. Eberhard,Paul Waring,Stephan C. Schuster,Zora Modrusan,Zemin Zhang,David Stokoe,Frederic J. de Sauvage,Malek Faham,Somasekar Seshagiri",Letter,28 July 2010
465,Biological sciences May 2010,10.1038/nature09039,Nature,Structural basis for 5′-nucleotide base-specific recognition of guide RNA by human AGO2,", 818–822 (","Filipp Frank,Nahum Sonenberg,Bhushan Nagar",Letter,26 May 2010
465,Biological sciences May 2010,10.1038/nature09088,Nature,Structure of the bifunctional isocitrate dehydrogenase kinase/phosphatase,", 961–965 (","Jimin Zheng,Zongchao Jia",Letter,26 May 2010
465,Biological sciences May 2010,10.1038/nature09021,Nature,The folding cooperativity of a protein is controlled by its chain topology,", 637–640 (","Elizabeth A. Shank,Ciro Cecconi,Jesse W. Dill,Susan Marqusee,Carlos Bustamante",Letter,23 May 2010
465,Biological sciences May 2010,10.1038/nature09077,Nature,Small mammal diversity loss in response to late-Pleistocene climatic change,", 771–774 (","Jessica L. Blois,Jenny L. McGuire,Elizabeth A. Hadly",Letter,23 May 2010
466,Biological sciences July 2010,10.1038/nature09343,Nature,NRMT is an α-N-methyltransferase that methylates RCC1 and retinoblastoma protein,", 1125–1128 (","Christine E. Schaner Tooley,Janusz J. Petkowski,Tara L. Muratore-Schroeder,Jeremy L. Balsbaugh,Jeffrey Shabanowitz,Michal Sabat,Wladek Minor,Donald F. Hunt,Ian G. Macara",Letter,28 July 2010
466,Biological sciences July 2010,10.1038/nature09249,Nature,"Wnt11 patterns a myocardial electrical gradient through regulation of the L-type Ca,2+, channel",", 874–878 (","Daniela Panáková,Andreas A. Werdich,Calum A. MacRae",Letter,25 July 2010
466,Biological sciences July 2010,10.1038/nature09192,Nature,Dynamics and mechanism of repair of ultraviolet-induced (6–4) photoproduct by photolyase,", 887–890 (","Jiang Li,Zheyun Liu,Chuang Tan,Xunmin Guo,Lijuan Wang,Aziz Sancar,Dongping Zhong",Letter,25 July 2010
466,Biological sciences July 2010,10.1038/nature09255,Nature,Segregation of yeast nuclear pores,", E1 (","Anton Khmelinskii,Philipp J. Keller,Holger Lorenz,Elmar Schiebel,Michael Knop",Brief Communication Arising,22 July 2010
465,Biological sciences May 2010,10.1038/nature09107,Nature,Thousands of chemical starting points for antimalarial lead identification,", 305–310 (","Francisco-Javier Gamo,Laura M. Sanz,Jaume Vidal,Cristina de Cozar,Emilio Alvarez,Jose-Luis Lavandera,Dana E. Vanderwall,Darren V. S. Green,Vinod Kumar,Samiul Hasan,James R. Brown,Catherine E. Peishoff,Lon R. Cardon,Jose F. Garcia-Bustos",Article,20 May 2010
465,Biological sciences May 2010,10.1038/nature09099,Nature,"Chemical genetics of ,Plasmodium falciparum",", 311–315 (","W. Armand Guiguemde,Anang A. Shelat,David Bouck,Sandra Duffy,Gregory J. Crowther,Paul H. Davis,David C. Smithson,Michele Connelly,Julie Clark,Fangyi Zhu,María B. Jiménez-Díaz,María S. Martinez,Emily B. Wilson,Abhai K. Tripathi,Jiri Gut,Elizabeth R. Sharlow,Ian Bathurst,Farah El Mazouni,Joseph W. Fowble,Isaac Forquer,Paula L. McGinley,Steve Castro,Iñigo Angulo-Barturen,Santiago Ferrer,Philip J. Rosenthal,Joseph L. DeRisi,David J. Sullivan,John S. Lazo,David S. Roos,Michael K. Riscoe,Margaret A. Phillips,Pradipsinh K. Rathod,Wesley C. Van Voorhis,Vicky M. Avery,R. Kiplin Guy",Article,20 May 2010
465,Biological sciences May 2010,10.1038/nature09098,Nature,Climate change and the global malaria recession,", 342–345 (","Peter W. Gething,David L. Smith,Anand P. Patil,Andrew J. Tatem,Robert W. Snow,Simon I. Hay",Letter,20 May 2010
